http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	67.51579	31.35969	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	61.24171	8.4411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	61.05303	7.33316	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.01952	59.36039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.52154	8.08924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	62.13932	8.42463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	62.82777	12.12359	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.01182	29.81399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.03033	28.31181	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.12942	49.23928	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.59588	19.77232	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.3311	17.09282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.31611	21.76103	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.86199	18.38378	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	64.82906	13.94645	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.66115	30.67947	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.4194	20.26915	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.26811	14.77734	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.20494	22.85219	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.5491	24.15106	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.73621	24.55533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
