http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	47.03891	3.92137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.67363	10.43809	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16069	3.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33908	3.87807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98063	3.62341	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.77787	6.63909	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85166	6.34252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	61.60181	26.81154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	68.04118	23.6365	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	69.13383	28.25784	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	62.85514	27.98223	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	66.79325	29.04693	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	65.88293	24.1813	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.38818	10.13374	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.21273	9.48366	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.88061	26.07902	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	62.46923	29.85982	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	54.95565	8.84385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.4568	-3.98608	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.20853	-1.87157	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.03305	-2.51859	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.17329	-4.28737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.63389	-4.27258	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.63869	-3.70705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.63389	-4.27258	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.89894	-1.43805	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.39072	-2.19014	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.43828	-3.4413	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.44135	16.23422	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.81176	18.81203	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.10672	13.84441	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.91932	16.80689	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.11193	-3.1651	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.74403	16.47144	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.56016	13.21027	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.90267	-1.78504	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.03305	-2.51859	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.47124	-3.16672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.07868	-3.43774	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	54.58828	13.60731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.13537	-3.15685	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.66215	-4.74852	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.84591	-4.43732	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.85171	-3.79861	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.89959	-3.14533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.03389	-2.83953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.53995	-3.14419	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.20853	-4.12843	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	54.57958	12.98869	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.25055	-5.66507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.0794	-3.14592	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	66.78671	23.50132	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.64201	-4.50759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.44657	-6.50056	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	67.15182	23.07728	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.81646	-3.99363	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.82516	-4.17849	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	66.97782	22.60402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.81712	-4.85158	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.00476	-4.18438	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.00116	-4.52266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.00926	-3.50764	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.00746	-3.84604	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.63389	-4.27258	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.61896	-6.15884	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	67.52257	20.29687	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.39072	-2.19014	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.39072	-3.80986	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.57293	-3.16275	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.10933	-2.17453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.0876	-5.47523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.0989	-1.18438	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.45802	-4.83339	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.27846	-4.82445	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.29159	-3.16591	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.11193	-2.8349	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.11193	-2.8349	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	68.40663	18.80835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.00476	-4.18438	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.81369	-1.72254	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.81646	-3.99363	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.8061	-1.15505	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.0794	-2.85408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.17819	-3.71527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.95082	6.06551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.17819	-3.71527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.95082	6.06551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.48661	13.57579	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.17819	-3.71527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.95082	30.06551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.17819	-3.71527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.35801	-3.71807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	67.16381	20.30733	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.34041	-0.84652	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.65089	-2.83246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.64201	-4.50759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.63758	-1.15757	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	68.4194	21.73085	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.77921	30.32819	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	67.6992	22.18072	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.63758	-4.84243	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	66.61915	19.41922	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.33479	-0.55965	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.95082	29.93448	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.67606	17.74586	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.47374	21.20797	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.6532	15.20934	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.29234	12.63777	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.83265	21.21073	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.13015	18.05769	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.88364	15.18421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	65.19154	15.21358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	62.48863	16.7464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.08223	7.7787	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	63.02137	18.82656	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.64908	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.7715	17.92676	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.28262	19.14106	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	65.89046	23.41363	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.9654	18.67155	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.70108	15.91584	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.95082	29.93448	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.36942	-2.82907	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.90546	-2.13212	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.8887	17.25563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.54352	13.79749	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.04567	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.36942	-3.17093	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.47984	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.65907	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.47762	12.94319	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.66956	13.88713	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.72587	-2.13659	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.18435	-4.19035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.72772	-2.48193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.01637	12.91464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.03305	14.51859	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.02888	16.12318	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	56.3848	16.45756	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.18435	-4.19035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.49234	14.20868	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	60.52154	8.08924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	62.49833	14.41772	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.44085	17.95702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	64.47256	20.37612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.18435	-4.19035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.34388	-5.56254	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	55.66215	13.25148	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	57.0876	18.52477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	61.42227	15.18738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	63.39018	19.5993	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	59.61227	10.94944	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	58.18888	8.4898	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
