http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 27/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2000	50.45168	4.54948	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	50.46123	3.42266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.90202	2.63252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.53279	6.37407	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.46191	2.85911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.46432	6.06607	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36221	9.12144	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98144	3.62345	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36221	9.12144	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.72844	4.80385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86314	6.84818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.93146	5.70873	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.72087	2.38932	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.7115	1.4125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.72844	4.80385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85249	6.34236	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54232	3.12179	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
