http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	56.57293	50.83725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.36668	57.85462	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.63758	49.15757	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.33016	46.9921	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	59.26179	52.22772	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.54352	49.7975	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.7231	52.20869	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.02906	48.40459	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.81691	48.06178	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	63.9319	43.98026	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.21106	51.80606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.85565	48.71946	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.74726	48.35883	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	56.9081	60.53666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	58.00746	44.15396	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	58.36394	43.80361	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	55.84176	37.24342	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	63.03792	32.80233	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.59869	33.94222	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1990	55.63746	47.93162	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1990	54.74726	48.35883	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1990	53.84949	48.41571	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1990	54.02906	48.40459	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.67606	47.74586	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.75175	56.50944	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	63.03461	33.98827	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1999	62.83543	30.44749	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.49941	50.8059	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.38009	48.79947	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.60181	50.81154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.9577	51.95327	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.06014	50.07382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.3857	52.80069	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.60181	50.81154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.56961	49.59049	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.75205	53.82799	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.49294	55.64154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.55267	53.6165	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.67566	56.02372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
