http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1994	49.71848	5.35845	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2013	50.81128	4.56134	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70786	1.16838	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.95444	8.21924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.95444	8.21924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.72087	2.38932	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.01018	0.23717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.01018	0.23717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62292	3.12395	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53146	1.41706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.66748	37.56915	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1893	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	54.95604	33.46847	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	58.54945	32.48454	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1898	58.90029	28.56209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1899	61.06463	33.18527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	56.02677	40.44411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	56.02677	40.44411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1919	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1920	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	58.90029	28.56209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	58.90029	28.56209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	47.40154	2.33734	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.01632	1.76911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	52.58678	5.80475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	54.95444	8.21924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1942	50.81749	8.0063	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1954	47.01622	0.50003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1954	47.01622	0.50003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	43.05365	-0.42139	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	43.4423	2.62927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.40744	-1.08318	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.40744	-1.08318	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.86314	6.84818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	47.93013	7.25959	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.15985	3.87545	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.34265	3.37636	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.16259	3.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.15985	3.87545	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.48668	-0.1155	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.40744	-1.08318	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.22296	6.83464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	53.13226	6.45886	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	52.42474	16.91189	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	47.03981	3.92143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	52.42474	16.91189	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	52.41962	17.2058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	51.50206	6.0576	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	52.24503	16.90415	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	52.44011	15.14711	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	43.4423	2.62927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	43.44283	2.87642	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	49.38065	2.31114	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	51.50206	6.0576	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	53.8776	14.54367	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	43.62238	2.62816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.52325	3.12584	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.52325	3.12584	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	43.43963	2.135	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.15985	3.87545	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.52325	3.12584	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	42.87373	0.4289	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	52.06532	7.10351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.00607	7.81551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.17752	7.12963	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.87608	12.11031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.23482	18.0957	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.06295	6.38393	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.07515	10.91898	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.07984	10.57025	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.87608	18.11031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.75457	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.93354	14.83568	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	57.10799	13.84431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.55037	9.17182	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	57.99797	7.139	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.87608	6.11031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	57.99258	6.8009	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.70409	12.41091	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.18205	13.46954	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.74872	13.85537	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.77288	6.0731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.54486	16.20261	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.54118	16.54609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.68838	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.62803	15.1773	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.6079	12.69622	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	57.64952	14.16226	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.5563	12.88492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	55.29354	12.63759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.98429	14.10399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	60.13154	6.05756	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.93377	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.75457	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.97748	10.61256	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.7642	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.94347	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.79314	13.03992	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	60.11296	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.86771	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.56908	16.1392	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	59.57535	6	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.37674	12.89489	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	56.38604	13.54232	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	58.55037	8.82818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
