http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	48.65817	-2.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.41646	9.15409	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.14204	3.38841	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.147	7.12453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98227	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.34238	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.80166	3.37293	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.95325	8.2193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.48349	5.8579	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.78954	5.69562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.78264	5.92002	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.03891	2.07863	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.41646	9.15409	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.57317	1.53746	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70081	3.63109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.35026	41.22119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.54263	42.9926	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.35345	42.52726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.25666	43.89125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.44657	42.50056	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.24831	43.38877	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.7346	42.87502	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.59382	39.77381	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.08065	41.80484	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.09368	41.14548	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35991	-3.60714	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.07284	41.98659	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.64975	23.74428	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.06255	39.12701	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.57958	53.01131	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.01794	44.04266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.57038	39.81369	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.82963	39.50512	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.3848	40.45756	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.02208	47.87543	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.5357	46.00921	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.48661	55.57579	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.20517	43.54927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02554	40.44399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.01637	41.08536	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.00045	20.85749	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.19822	44.41257	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	63.9319	43.98026	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.96272	49.06455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.66626	37.56927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.7048	55.11871	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.25703	38.2675	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.97391	49.9576	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
