http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	58.70922	47.24401	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.91959	60.09404	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.66626	37.56927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.84922	37.882	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.54628	44.14101	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.79786	56.55507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02554	40.44399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.04922	37.6254	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.56772	35.62954	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.07284	41.98659	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.21106	38.19394	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.03389	44.83953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.64822	39.83767	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.47124	56.83328	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.84176	37.24342	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02137	37.23528	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.38818	37.86626	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.56441	37.53554	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.9081	60.53666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.66806	48.03362	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.94483	36.17227	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.28585	30.32317	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.22891	40.38057	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.83679	36.92426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	56.90121	59.79137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	56.9081	60.53666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	56.9081	60.53666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	57.27846	61.17555	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
