http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.79084	28.61572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.12622	6.12403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67181	5.64924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1377	5.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.80651	17.86007	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.87073	7.35435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1861	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1867	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1867	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1867	45.05408	7.60308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1867	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1873	46.14263	8.87053	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.14263	8.87053	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.50261	8.86968	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.85656	10.18061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.96263	8.87095	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.29018	6.27375	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.96263	8.87095	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1883	44.13223	17.62499	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1889	46.12621	7.05848	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	44.49196	5.64108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	36.74729	36.4239	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	37.29232	36.631	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1919	44.49196	5.64108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	46.31023	7.31172	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	44.49196	5.64108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1931	43.97084	7.37941	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1932	46.32262	9.1299	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1935	46.31672	10.16894	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	46.13676	10.16513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	41.45034	22.5563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	44.147	7.12453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.31908	8.09079	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.31908	8.09079	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1954	43.98172	15.37405	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1954	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	44.50248	5.13841	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	44.50248	5.13841	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	46.31023	7.31172	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	43.60279	6.89374	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.51412	7.61605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.48587	6.11558	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.16069	9.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.70192	9.37866	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.48587	6.11558	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.48587	6.11558	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.48587	6.11558	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	37.66998	31.75276	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	37.84449	31.29525	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.48587	6.11558	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	40.1782	29.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.10559	31.26529	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.10559	31.26529	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	38.20484	31.28688	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	38.56516	31.27836	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.6569	29.15385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.43404	16.35909	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.95235	6.38295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.6824	5.14502	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	43.41803	24.65312	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.55856	32.40943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.55856	32.40943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.91985	32.64374	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.28016	33.35822	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.45781	33.83811	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.63794	33.84044	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73872	33.59216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73872	33.59216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73872	33.59216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.1782	29.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.49196	6.35892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.3121	5.633	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.73289	31.69738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.73289	31.69738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55856	32.40943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.37935	32.6466	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.36256	35.00204	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.36256	35.00204	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.92865	43.50031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.54266	42.13166	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	36.955	33.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.20795	31.51522	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.20795	31.51522	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
