http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1972	37.13571	-3.11259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1986	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1986	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	37.13571	-3.11259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1993	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2007	37.13571	-3.11259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2008	37.13571	-3.11259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13571	-3.11259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	37.13528	-3.33775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1988	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1988	36.955	-3.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
