http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1989	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.79975	3.87018	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33163	4.63058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.15766	4.12554	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.97164	4.62069	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.97164	4.62069	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.6213	3.61971	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.15492	7.62441	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.06	3.88908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.83948	8.64937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35912	-8.14998	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.50198	-6.03843	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.17902	2.15239	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.33907	0.69358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.63972	3.7071	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61163	1.38901	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33163	4.63058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33163	4.63058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54181	2.63464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.77867	5.36105	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.22774	5.83221	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.01891	2.0426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.64117	2.63978	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.90255	2.87751	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.83948	8.64937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.53279	6.37407	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.83995	8.88312	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.00145	8.63775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.52306	-6.0824	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.00195	9.12075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.49277	6.35876	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.46153	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.95316	5.61721	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.64117	9.36022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98144	3.62345	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.79488	4.36731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.5033	5.13854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.64117	9.36022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.64167	2.87992	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.34639	7.13334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53456	1.66052	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.98773	13.18917	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	46.85444	7.55702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.9791	12.70662	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.9791	12.70662	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.88787	13.16306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	39.83948	8.64937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	43.23357	6.41382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	42.00145	8.63775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	40.92105	9.11876	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.31291	5.63315	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	51.33583	6.55948	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1852	47.93949	2.0627	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1864	48.66233	2.59259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1865	42.00145	8.63775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1865	42.00145	8.63775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1865	42.00145	8.63775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1866	50.63972	3.7071	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1867	45.39772	6.57244	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1872	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1873	50.81473	4.27755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1874	50.81473	4.27755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1875	50.81473	4.27755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1875	50.45987	3.70442	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1875	50.45987	3.70442	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.29106	6.27358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.29106	6.27358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.28458	6.07078	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.28458	6.07078	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1884	47.21428	7.54729	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1886	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	47.40276	8.6024	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	49.70585	5.88836	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	46.14292	3.38844	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	51.00079	3.42754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	45.24172	2.36292	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1892	43.41881	5.34702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1894	50.60405	5.91469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1894	50.63148	4.55538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
