http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1902	64.8271	40.47499	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1903	67.52159	58.17194	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	66.60916	59.48352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	65.35426	53.36444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	65.35426	53.36444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	68.05547	61.32136	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	68.05547	61.32136	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	64.82231	58.89617	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	66.60916	59.48352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	64.82231	58.89617	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	66.60916	59.48352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	67.52159	58.17194	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	63.57455	61.99301	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
