http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.28458	6.07078	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.33583	6.55948	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.27527	7.73695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.62737	7.16197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.44759	7.16894	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.79678	6.58768	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.02015	9.11719	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.38005	9.35342	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.79975	3.87018	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.94252	6.80679	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.0228	8.86322	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.7115	1.4125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32337	5.13199	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.5033	5.13854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.7115	1.4125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.77867	5.36105	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	38.74913	16.49599	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	45.23489	7.59859	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.88787	13.16306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.88787	13.16306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	45.94718	10.93535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35449	1.66435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.26781	4.82415	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.31841	6.6174	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	45.93728	6.54899	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.86763	7.10119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1883	44.13303	17.62514	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1883	44.13303	17.62514	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.46191	3.14089	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	51.00079	3.42754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1891	51.00079	3.42754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	44.5033	6.86146	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.46153	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.46153	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	50.43124	5.67534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.82095	2.5741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.82095	2.5741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	36.74789	36.42377	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	50.26781	4.82415	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	42.18208	8.87891	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1917	50.99731	3.99754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	50.99731	3.99754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	50.28205	3.14036	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	49.71848	5.35845	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	48.65913	8.04943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	48.65913	8.04943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	47.94261	9.40172	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38262	9.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.56185	9.41484	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	49.38196	9.41333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	48.65913	8.04943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	46.83041	6.24641	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	50.28205	3.14036	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1930	45.06339	3.12702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1930	45.06339	3.12702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	50.79678	6.58768	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	51.16175	6.85475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	49.38065	2.31114	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.6109	5.68552	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.80713	4.84508	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1938	54.95604	8.53153	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1938	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1941	44.32337	0.86801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1942	49.56185	2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1944	44.87774	1.86051	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1946	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1948	53.33453	10.05122	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	48.08864	11.82014	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	50.63148	4.55538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	48.08864	11.82014	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	48.84289	8.86371	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	49.72844	1.19615	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	46.86346	14.8688	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	45.03798	6.58771	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	45.03798	6.58771	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	47.02166	12.76297	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	48.48305	9.13532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	45.40286	6.82778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	46.66675	13.03912	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1385	6.62465	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	48.48241	9.40597	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	43.79975	3.87018	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	45.42345	2.87218	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	44.87998	3.8863	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.48241	9.40597	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	46.67751	7.82325	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	49.54864	4.79722	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	46.31111	7.31162	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	42.71723	1.90085	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.66105	9.679	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	43.79975	3.87018	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	48.84225	9.40887	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	44.1385	11.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	45.22296	6.83464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	45.75743	6.55688	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	45.75743	6.55688	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	46.13998	8.09369	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	48.30312	9.13485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	48.30312	9.13485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	47.93013	4.74041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	49.54864	4.79722	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	47.75026	7.2656	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.21217	5.67435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.85809	5.40477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.03233	5.66596	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.15164	4.62561	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	48.44807	-0.16	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.76264	6.81385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	48.28984	7.2474	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	50.60405	5.91469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	51.18134	3.14307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	41.46153	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	47.94324	2.86609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.18208	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	46.46432	6.06607	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	46.46432	6.06607	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.24172	3.63708	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.24172	3.63708	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	47.18994	5.77215	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.1615	3.62534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	50.6109	5.68552	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	47.02166	5.23703	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	47.93013	7.25959	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.97164	4.62069	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	49.72379	5.08119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.93146	5.70873	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	47.93949	8.0627	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.16259	3.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	47.92576	12.99199	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.40121	6.01693	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.40761	5.84058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	48.48241	9.40597	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	50.09544	4.25832	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.77867	5.36105	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99883	29.22574	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
