http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.52325	3.12584	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53146	1.41706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.93146	5.70873	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53456	1.66052	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.7115	1.4125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71463	1.65666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.7115	1.4125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.53279	6.37407	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.72087	2.38932	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.22296	6.83464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70369	0.92431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76264	6.81385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70786	1.16838	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.95444	8.21924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86166	9.65598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86286	9.3936	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.52784	1.17365	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5237	0.93028	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.63417	-0.42106	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40286	6.82778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.63417	-0.42106	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
