http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.2837	6.07087	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1377	5.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73941	-2.3061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	0.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.4609	2.85912	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54105	2.63466	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61084	1.38911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86197	9.39357	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5307	1.41716	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	-2.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73941	-2.3061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73941	-2.3061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73941	-2.3061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37967	-2.31118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38098	-2.5867	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
