http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	52.95153	6.46959	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.71748	5.35828	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.8206	8.85804	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.96272	7.06455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.23886	5.19672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.96272	7.06455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.95153	6.46959	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.23886	5.19672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40202	6.82791	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81646	8.00637	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.54765	4.7971	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.12036	8.32818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40202	6.82791	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69825	0.68043	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.60988	5.68533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	47.22189	9.39623	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1907	48.84193	9.13628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1910	50.64075	3.14142	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	48.48146	9.40594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	51.35308	4.2924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.92062	8.5821	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1932	49.92062	8.5821	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1938	54.95325	8.2193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	52.05919	5.18789	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	52.0397	5.95961	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	50.60303	6.0854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	50.8061	7.15505	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	50.81024	4.56123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	50.8061	7.15505	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.66137	9.40738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	48.66137	9.40738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	48.66137	9.40738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	48.66137	9.40738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	48.4821	9.13532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.10465	6.98513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	48.10465	6.98513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	48.10465	6.98513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.67181	5.64924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	47.93606	7.79503	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	49.90256	5.08877	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	48.84193	9.13628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	51.14882	6.28349	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	48.4821	9.13532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.9306	5.70857	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	51.14882	6.28349	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	50.2668	4.82403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	42.87297	0.42905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	42.87297	0.42905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.49196	6.35892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	49.7228	5.08105	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	46.46997	6.26478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	46.2837	6.07087	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	48.09398	6.44832	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	45.77394	4.41478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	47.74004	6.73246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	47.74004	6.73246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	47.74004	6.73246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	50.96918	6.29399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	49.36325	0.93417	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	50.99002	4.56726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	50.60988	5.68533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	50.09443	4.25823	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	50.81024	4.56123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	51.17329	4.28737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.87297	0.42905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.87297	0.42905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	49.71748	5.35828	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	46.46997	6.26478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.95981	26.42801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.95454	28.33447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.68306	23.38015	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.06217	27.55574	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.05303	25.33316	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.95981	21.57199	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.05709	22.29656	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.85185	28.37501	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.69807	22.28208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.85185	22.37501	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.58	30.55136	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.58	23.44864	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.85733	21.58937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.70308	21.54953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.58	29.44864	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.06217	32.44426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
