http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.8206	8.85804	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5307	1.41716	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5338	1.6606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35991	2.39286	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.11596	7.79083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.07218	7.68693	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69825	0.68043	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.34238	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	45.04222	6.84157	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85656	10.18061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85656	10.18061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1896	49.02119	3.41031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1898	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1904	48.12224	8.86563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1906	48.65561	10.22202	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1907	48.84193	9.13628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	49.01535	10.23081	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1920	48.65817	8.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	48.65817	8.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	48.65817	8.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	49.01535	10.23081	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	48.65817	8.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	48.65817	8.04949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	42.69825	0.68043	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1931	50.28103	3.14035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	54.95325	8.2193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1938	54.95325	8.2193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	42.86721	-0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1952	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1952	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	50.61605	6.59705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	45.40202	6.82791	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	50.98585	7.14793	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	45.58651	22.92282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	45.4226	2.87218	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	44.15412	7.62449	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	47.92483	6.99212	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	44.6969	4.13588	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	43.97084	7.37941	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1961	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	42.54001	2.39112	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.16069	3.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.24088	3.63704	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.54001	2.39112	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.54001	2.39112	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.8769	4.13942	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	42.35631	1.90721	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	42.35631	1.90721	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.60262	2.87178	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.60262	2.87178	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.60262	2.87178	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	46.82952	6.24658	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	46.82952	6.24658	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.16069	3.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.16069	3.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	42.35991	2.39286	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	45.93642	6.54914	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	45.94166	6.80692	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.49196	6.35892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	47.94168	2.5983	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	44.16069	3.6253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	45.06255	2.87299	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	45.06255	2.87299	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.49196	6.35892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	47.20059	6.75556	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	45.06199	2.61897	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	44.88252	3.12661	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	46.64318	5.93859	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.87297	0.42905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	43.78274	6.88743	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.04186	30.59299	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.05303	34.66684	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.04186	24.59299	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.95454	28.33447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.05303	25.33316	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.47677	35.52182	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.70308	21.54953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.06217	32.44426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.59557	31.681	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.05303	28.66684	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.58	30.55136	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.60077	32.43464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.69807	22.28208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.93873	30.52268	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.85733	27.58937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.60077	33.56536	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.47677	29.52182	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.93873	29.47732	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.06217	27.55574	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.70308	27.54953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	62.49833	33.58228	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.14482	24.65887	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.59557	25.681	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.59557	34.319	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.69807	25.71792	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.59557	28.319	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.68306	23.38015	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.58	29.44864	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.60077	27.56536	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	61.06217	26.44426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.14482	29.34113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.14482	23.34113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.15951	25.73895	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.15559	28.62119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.16441	21.54051	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.15559	22.62119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.15951	19.73895	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.68306	29.38015	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.68306	30.61985	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.68306	24.61985	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	60.69407	28.64823	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	42.8782	-0.6737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	46.67901	8.08477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	42.51828	0.6871	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	42.8782	-0.6737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
