http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.7033	2.87377	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	43.803	3.12432	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2007	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.00195	3.12075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.51904	-0.68697	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.1988	-2.03913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.1988	-2.03913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38065	-2.31114	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86166	9.65598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35912	2.14998	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.05365	-6.42139	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.61911	0.71942	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.1988	-2.03913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.33907	0.69358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70369	0.92431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.18325	6.04677	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62292	2.87605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.5033	5.13854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53456	1.66052	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.02086	2.31612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.92028	2.30348	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67821	5.39731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.90202	2.63252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.48668	6.11549	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.54864	4.79722	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81749	8.0063	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
