http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	50.81128	4.56134	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	49.38262	3.13778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53146	1.41706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40286	6.82778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.97647	6.57837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	4.84508	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.94252	6.80679	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.24172	3.63708	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40286	6.82778	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71931	2.14508	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.62256	6.87939	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.62737	7.16197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.62737	7.16197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	4.84508	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
