http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.7033	2.87377	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2008	44.34265	2.62364	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2010	44.34265	2.62364	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2010	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.01967	8.64845	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.01891	2.0426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43124	5.67534	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.46191	2.85911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76727	4.92911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.46191	2.85911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.97647	6.57837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.1988	-2.03913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.16175	6.85475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.1988	-2.03913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76727	4.92911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.84096	2.31857	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.84096	2.31857	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.14292	3.38844	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.97647	6.57837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61163	1.38901	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74041	-2.30606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61163	1.38901	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98689	7.1478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	45.94718	10.93535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.88787	13.16306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.61991	15.14771	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	40.02015	9.11719	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	45.04306	6.84144	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1887	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1888	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.28205	3.14036	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.82095	2.5741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	50.82095	2.5741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1916	55.31385	26.2122	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1916	55.31385	26.2122	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	50.99731	3.99754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	49.74174	2.58362	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.46123	3.42266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.6109	5.68552	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.6109	5.68552	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	50.80713	4.84508	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1938	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	50.79678	5.41232	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1940	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1940	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1946	50.97022	6.2938	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	49.38196	-2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1947	49.56185	-2.58516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1948	50.98203	5.13695	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1948	51.17084	4.57346	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	51.69518	6.54019	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	49.20076	8.31364	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	50.79057	5.69581	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	49.54864	4.79722	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	46.31996	8.09073	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	47.93013	7.25959	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	49.72844	4.80385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.03233	5.66596	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	44.15164	4.62561	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	48.44807	-0.16	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	46.31465	7.57128	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	48.28984	7.2474	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	47.2015	0.75541	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.84096	2.31857	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.84225	2.59113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	47.94324	2.86609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	49.18901	7.21585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.41144	4.66136	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	47.94324	2.86609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	47.93387	-4.47275	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	45.23774	1.85334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	45.21785	5.41989	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	47.94324	2.86609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	50.64109	3.42427	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	51.71656	7.98672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	39.99883	29.22574	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
