http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1956	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1958	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.75658	6.55703	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.9882	42.30628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.06804	42.26266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.06214	42.07091	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1974	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.41269	41.59368	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1977	40.52815	41.71523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	44.14262	6.87463	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	40.1782	41.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
