http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	69.12942	49.23928	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	73.97944	57.3246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	74.15277	55.35952	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	73.25679	55.44497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	71.46449	52.40927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	73.25679	55.44497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	71.46449	52.40927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	71.46449	52.40927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	73.25679	55.44497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	74.6944	55.98185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	74.6944	55.98185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	74.6944	55.98185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	74.6944	55.98185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	73.26238	56.68892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	69.13383	49.74216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	69.13383	49.74216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	69.13383	49.74216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
