http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	36.03543	53.10883	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.15904	26.1246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	35.50451	52.43337	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.7023	35.92134	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.1782	29.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.91301	31.69385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.06199	21.38103	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.99815	29.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.55952	39.35435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.73289	40.30262	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.73872	38.40784	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.88222	30.0748	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.9882	48.30628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.09558	31.92837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.81956	33.60201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.81956	27.60201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.55276	46.29913	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.45333	19.68307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.4334	23.5133	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.80291	23.04626	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.80291	23.04626	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.00121	44.87926	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.26679	28.79068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1872	41.96771	48.22446	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	41.81048	22.56499	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	41.45333	22.31693	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	41.45333	22.31693	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1918	41.1005	21.11908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1923	41.81956	27.60201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1926	43.62159	21.37181	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1932	41.61337	23.52028	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	41.4334	23.5133	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1940	41.97329	24.46557	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1942	40.71832	24.75056	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1942	40.71832	24.75056	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57506	56.19643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57641	56.42601	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57641	56.42601	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57641	56.42601	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	38.57641	56.42601	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1959	41.43838	23.27413	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	41.6269	25.19939	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	41.61838	24.71955	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	41.79333	24.47268	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	41.96771	24.22446	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	41.96162	23.94905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
