http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	55.66626	37.56927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.11106	39.4953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02554	40.44399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.84591	37.56268	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	63.9319	43.98026	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	57.64822	39.83767	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.39241	38.51407	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1922	56.9081	60.53666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1924	56.92709	40.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	56.19593	42.90491	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.39326	38.83802	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	56.19593	42.90491	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	56.19593	42.90491	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	56.19593	42.90491	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	56.9081	47.46334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1997	56.75175	56.50944	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	63.03792	45.19767	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	63.03792	45.19767	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	62.85842	45.19646	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.06014	50.07382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.3857	52.80069	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.38009	48.79947	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.49941	50.8059	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.67566	56.02372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.60181	50.81154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.75205	53.82799	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.60181	50.81154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	61.9577	51.95327	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	62.49294	55.64154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.55267	53.6165	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2011	63.56961	49.59049	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
