http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85166	6.34252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.17827	2.15244	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.17827	2.15244	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.67477	20.22614	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	62.47677	12.47818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	63.37337	18.39983	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.67477	26.22614	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.44624	15.67274	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.96594	29.5197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.32438	23.55737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.86199	23.61622	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.23301	22.69156	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.08743	14.33676	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.03342	32.21283	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.34319	33.69786	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.87441	34.66551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.24004	38.27488	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.22037	29.65712	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.77087	31.26766	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.77809	33.7426	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.12942	34.76072	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.13677	32.24522	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.0811	37.45273	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.67477	32.22614	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.6672	31.19478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.34319	32.30214	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.96594	30.4803	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.97782	40.60402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.98442	32.31243	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.68306	6.61985	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	66.42823	35.46542	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.6672	28.80522	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	70.03342	27.78717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.67477	32.22614	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	67.32438	29.55737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.13677	27.75478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	69.13677	21.75478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.77809	26.25739	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.24004	27.72512	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.22037	23.65712	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	68.22037	24.34288	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
