http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1970	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	38.57731	39.3444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	38.57731	39.3444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.21684	38.65731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.9274	36.41785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.03571	33.56974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.46214	40.97599	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55751	35.18047	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.12373	34.68845	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1997	39.10192	43.03411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	37.48413	34.69652	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1905	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1905	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	38.01275	36.60799	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	38.36801	42.36745	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1916	39.47887	44.88373	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1917	35.87239	51.55385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1917	35.87239	51.55385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1917	35.87239	51.55385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1917	35.87239	51.55385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.05352	51.33307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.05352	51.33307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54266	35.86834	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	38.55751	47.18047	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	33.86475	48.51376	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
