http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	50.97543	5.42146	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43635	5.39383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.18029	2.85694	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99628	3.99747	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99836	3.7125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99836	3.7125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81369	4.27746	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81024	4.56123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.18029	3.14306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.45885	8.29563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.33479	6.55965	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.8206	8.85804	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.63869	3.70705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.18029	3.14306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02554	34.44399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.18707	50.1497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.01637	36.91464	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.03389	38.83953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.9081	41.46334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02554	37.55601	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.55505	36.8851	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.32207	7.04833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.99635	42.0551	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.66626	37.56927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.95485	8.53157	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.45885	8.29563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.83052	44.83162	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.33479	6.55965	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.92968	50.1785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98585	7.14793	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.1656	7.14074	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.3848	49.54244	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.28896	39.82949	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.92968	57.8215	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.9081	29.46334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.9935	4.28239	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99002	4.56726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43022	6.32485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.34534	4.86653	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.44658	4.83093	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.82291	6.0566	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.82952	6.24658	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.54765	-1.2029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.02983	7.28916	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.92483	11.00788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66201	9.1358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.1656	4.85926	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.99268	11.59729	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.92062	8.5821	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43022	6.32485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.745	12.99905	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43022	6.32485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66137	9.40738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.42341	6.09077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.42341	5.90922	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.42341	6.09077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.80552	41.52423	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11039	5.71737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.45066	4.54937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.63869	3.70705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.79575	5.41215	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81369	4.27746	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81369	4.27746	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81024	4.56123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.78954	5.69562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.78954	5.69562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43635	5.39383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.60988	5.68533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.97543	5.42146	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.63046	4.55527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.60988	5.68533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99628	3.99747	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.42341	6.09077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.99836	3.7125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.60988	5.68533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.17329	4.28737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.85355	7.55711	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.85355	7.55711	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.84994	7.29488	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.02983	7.28916	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.34534	4.86653	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.34956	4.5795	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81024	4.56123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81369	4.27746	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.60303	6.0854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.49479	57.15827	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.74726	29.64116	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.49479	38.84173	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.43635	5.39383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	61.41196	58.68595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.16443	36.45038	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.34388	29.56254	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.7194	40.5539	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
