http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	40.72997	31.46061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.41269	41.59368	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1993	40.72997	31.46061	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	39.8388	39.35062	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	40.00951	43.47692	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.95235	42.38295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1907	42.71646	43.90091	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1907	42.71646	43.90091	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	43.95779	42.63197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	44.147	43.12453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	43.979	39.87275	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	43.77247	42.39081	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	43.58025	41.98739	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1928	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1929	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2002	39.8388	39.35062	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
