http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	52.06965	34.60486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.17208	41.21017	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.82647	43.82141	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.41773	25.8497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.69631	39.75729	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.87897	24.67356	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.51904	23.31303	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.77327	18.39066	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.25956	27.86244	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.69901	23.31971	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.41773	25.8497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.44359	24.96498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.26138	42.18129	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.36162	28.53823	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.88279	20.62014	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.49519	33.47485	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.45921	30.07478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	58.00877	39.84611	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.75129	38.18236	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.91541	41.13535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.75387	38.83646	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	42.51904	23.31303	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	42.69901	23.31971	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1906	56.37674	36.89489	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.3945	38.83801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.3945	38.83801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.3945	38.83801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1909	56.3945	38.83801	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1910	44.33989	21.87813	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1911	43.77327	18.39066	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1912	43.77327	18.39066	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	59.95999	30.31351	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	58.35159	29.22138	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	54.58076	41.01147	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	58.90402	34.21507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	52.60886	34.6245	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1915	56.37082	29.42867	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1916	57.81843	40.85174	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	42.69901	23.31971	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	43.77327	18.39066	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.31841	17.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	44.31841	17.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	41.61911	24.71942	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	44.31841	17.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	44.31841	17.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	42.50198	23.96157	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	41.96844	23.7757	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1969	41.96844	23.7757	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	45.23148	19.34389	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	45.23148	19.34389	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1978	45.24001	26.10812	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.7404	21.35532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	45.41773	25.8497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.70369	23.07569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.70369	23.07569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.70369	23.07569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.70369	23.07569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.51904	23.31303	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2006	42.51904	23.31303	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2007	55.67077	52.11296	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	43.80246	20.62705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	43.80246	20.62705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2010	43.98144	20.37655	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2010	43.80246	20.62705	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
