http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	44.16233	3.12506	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.83552	6.50854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.83552	6.50854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.11596	16.20917	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.11596	16.20917	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.11596	16.20917	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.3176	5.38246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98172	3.37405	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.9002	2.38759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6969	4.13588	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70081	3.63109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51911	3.88077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.24088	3.63704	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69913	3.8835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	0.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35991	2.39286	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51911	3.88077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.10116	3.13982	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.24088	3.63704	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51911	3.88077	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.72011	2.38936	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54105	2.63466	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.72011	2.38936	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98585	7.14793	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98172	3.37405	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54105	2.63466	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40202	6.82791	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
