http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
0   	44.67738	6.60284	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1889	46.49371	10.43334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1914	46.14204	8.61159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1925	45.59053	7.33344	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1930	46.46345	12.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1932	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	46.66586	13.03924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1939	46.66586	13.03924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1957	46.66586	13.03924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	46.32085	9.64946	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	45.75658	6.55703	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	46.64975	12.25572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1960	46.46997	12.26478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.04674	7.09536	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1962	46.4759	11.47498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1963	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	44.4975	6.61022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	46.46345	12.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	45.93642	6.54914	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
