http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	49.55162	19.47927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.21337	55.54738	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	50.46021	50.57737	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.45333	43.68307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	39.82609	46.7527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	52.7986	44.85169	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	51.34956	55.4205	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.76236	32.86656	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	39.27326	41.43431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	39.29173	43.72449	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	46.32262	32.87011	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.79837	47.28682	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.94043	39.66948	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.58668	41.84886	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.38041	35.25207	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.36205	29.95807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1889	39.65767	44.41717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.47608	44.18617	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.47608	44.18617	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.89346	42.50726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.07344	42.50047	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.84449	46.70475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	39.47422	43.95368	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.91771	41.19146	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.83265	30.61382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.7281	35.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.7281	35.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1977	38.56831	43.50783	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1977	38.56831	43.50783	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1977	38.56831	43.50783	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1977	39.63802	42.78598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	39.27788	42.79736	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
