http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	42.71386	1.65673	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35991	2.39286	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71074	1.41259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85166	6.34252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5338	1.6606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.69825	0.68043	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5307	1.41716	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.9568	7.83865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.39687	6.57259	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11625	6.54118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76178	6.81399	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11625	6.54118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.147	7.12453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.5338	1.6606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.52294	0.9304	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.22212	6.83477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67181	5.64924	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.05288	-6.42154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11625	6.54118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.31908	8.09079	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1377	5.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70709	1.16848	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70293	0.92443	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.59053	7.33344	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35631	1.90721	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.9568	7.83865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.15083	7.37449	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.682	8.60774	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.55162	19.47927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.8871	13.16317	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53639	1.90408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.8871	13.16317	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.5338	1.6606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69825	0.68043	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
