http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1889	39.65767	44.41717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1965	41.82058	20.63879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	42.51311	23.55614	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.09558	31.92837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73726	32.171	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.63944	33.60033	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.09755	33.83352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.09755	33.83352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.09755	33.83352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	39.98253	29.90628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.18964	31.4729	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55276	31.70088	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.72657	40.77612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.73969	39.3553	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.55952	39.35435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.73969	39.3553	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.89346	42.50726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.06804	42.26266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1972	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.81048	34.56499	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.09903	33.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.09903	33.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.09755	33.83352	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	40.91888	32.40623	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	40.54649	31.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.41269	41.59368	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37839	38.41101	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37839	38.41101	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.23279	41.58603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	43.40683	41.84041	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1976	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	40.71346	42.51398	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	40.71346	42.51398	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	40.1782	41.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	40.71346	42.51398	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	41.08672	43.21422	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.72657	40.77612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.72657	40.77612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.72657	40.77612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.72657	40.77612	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
