http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	42.5307	1.41716	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1377	6.62479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85166	6.34252	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.52294	0.9304	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89077	1.40798	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.6824	6.85498	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.86232	6.84831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.147	7.12453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.03714	6.58785	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35991	2.39286	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.40202	6.82791	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11625	6.54118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.32256	6.86814	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.71855	2.14513	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	41.64044	21.3602	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	45.41059	7.33874	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.5338	1.6606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	45.0315	6.33421	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.8668	7.1013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1874	45.76641	7.07101	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.85896	8.08171	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.86076	8.34406	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.86197	8.60643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.95039	7.32268	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.95389	7.58064	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.94632	7.06477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.13911	8.09375	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.13383	7.57603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.31377	7.57137	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.46345	6.06616	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.46997	6.26478	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.13383	7.57603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.13383	7.57603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.85896	9.91829	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.86197	8.60643	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	47.04073	8.34186	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.50202	8.60903	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.682	8.60774	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1890	46.68259	9.13076	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1896	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1906	46.49371	7.56666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1908	46.49667	7.82721	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1919	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1919	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1921	42.35837	2.15003	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1927	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	47.02076	12.76311	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	47.01532	12.50019	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	47.01532	12.50019	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	47.02076	12.76311	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1949	42.86721	0.18447	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	46.86076	8.34406	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	44.3176	6.61754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1950	44.50248	6.86159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.86076	8.34406	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1951	46.67005	7.30055	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1952	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1953	42.53846	2.14759	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1955	44.85727	6.59538	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
