http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	42.1798	9.60541	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1896	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1896	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1897	42.18134	9.12109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1900	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1900	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1901	42.72115	9.36639	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1901	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1902	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1903	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1903	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1903	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1903	41.4608	9.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
