http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1889	39.65767	44.41717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1889	39.65767	44.41717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1889	39.65767	44.41717	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1936	35.86953	51.99688	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	36.23176	51.77892	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.91985	32.64374	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73872	33.59216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	40.73872	33.59216	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.37695	39.82457	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.81339	42.54674	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.9882	42.30628	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.81339	42.54674	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.81809	42.7802	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.54266	42.13166	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.89346	42.50726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	41.06804	42.26266	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	35.86749	52.21837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.65255	48.6196	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.36801	41.63255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.91771	36.80854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	36.23383	51.33384	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.82783	48.38677	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48413	34.69652	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	40.91888	32.40623	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.1925	40.29222	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37695	39.82457	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37695	39.82457	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37503	40.06013	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.83786	38.41565	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	40.1782	41.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.9882	41.69372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.99815	41.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.83704	35.15908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.83704	35.15908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.35345	42.52726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.35345	42.52726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.35345	42.52726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.71346	41.48602	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	37.49366	44.20816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	39.8388	39.35062	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1987	40.37839	44.41101	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	40.52815	42.28477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	40.52815	42.28477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.95287	33.7862	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.17686	35.985	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.17686	35.985	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.74168	37.04403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.91771	36.80854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.0079	35.61961	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.54806	35.63911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55301	35.40981	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.27326	36.56569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83644	39.81807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	41.46619	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.80821	42.31332	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	43.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64597	43.25185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	43.2473	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
