http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.15985	2.12455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2005	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2010	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76727	4.92911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.71656	7.98672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.78367	5.92012	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.85063	11.58448	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.5033	5.13854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33989	3.87813	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33989	3.87813	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.92229	3.13931	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.5033	5.13854	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62238	2.62816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62238	2.62816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66233	9.40741	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67263	5.6494	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
