http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2003	44.7033	2.87377	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2004	44.16314	2.87493	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
2009	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	16.20925	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53146	1.41706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.81473	4.27755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53146	1.41706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53456	1.66052	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53456	1.66052	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86286	9.3936	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86166	9.65598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62238	2.62816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.15492	4.37559	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53715	1.90402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.67821	5.39731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.97491	4.37143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.80246	3.37295	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.57758	6.5647	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.97763	4.12213	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.54077	2.39108	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.1385	5.37535	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.76727	4.92911	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.97491	4.37143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.85809	6.59523	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.90097	2.38755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.90097	2.38755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.98252	3.37408	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.89349	7.69209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16259	3.37521	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.84632	5.89311	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35141	1.42159	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.33907	0.69358	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.49277	6.35876	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.17135	1.42608	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66105	9.679	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35912	2.14998	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.48305	9.13532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.26307	6.8954	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.66297	9.13581	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.17902	2.15239	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.16314	3.12507	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.70786	1.16838	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.1169	7.79075	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.34369	0.9362	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.53922	2.14754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.89349	7.69209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.33163	4.63058	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61163	1.38901	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	5.3826	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.94324	2.86609	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.51993	3.88083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.70163	3.63113	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.58736	-1.07706	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86286	3.3936	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.15615	6.56897	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61163	1.38901	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.86797	0.18431	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.89349	7.69209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.89349	7.69209	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.16175	6.85475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.97647	6.57837	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.61969	3.86758	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.79678	6.58768	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.80713	7.15492	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.31841	6.6174	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.98203	6.86305	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73243	7.47355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.35912	2.14998	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.62238	2.62816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.14781	43.12442	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.88787	13.16306	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	49.92162	8.58208	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	41.9791	12.70662	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35706	1.90715	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.35449	1.66435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.36066	2.39282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.69901	0.68029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	42.89154	1.40788	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	44.3432	2.87455	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	43.98307	3.12469	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0   	47.39725	7.80731	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.86763	1.10119	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.86314	0.84818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	43.44123	2.38213	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	43.44123	2.38213	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	44.31291	5.63315	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.29106	5.72642	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.64178	3.14143	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.67751	10.17675	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	45.04306	6.84144	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.25766	5.38497	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85444	10.44298	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.67452	10.43818	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85444	10.44298	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	46.85745	10.18068	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	49.38196	2.58667	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
0000	50.81473	4.27755	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1869	50.9994	3.71255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1872	51.18134	3.14307	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1875	51.16175	5.14525	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1879	46.85444	7.55702	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.11126	6.28246	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	47.03436	7.55218	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	45.9635	8.87094	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.28458	6.07078	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1880	46.30698	7.05201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
