http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1989	43.98307	2.87531	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.46432	6.06607	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.64407	6.06131	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.10217	3.13983	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69773	4.13595	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.69996	3.88355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.92028	2.30348	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	48.83902	2.04603	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.90356	5.08891	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.36883	4.79065	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.30507	17.85229	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.30507	17.85229	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	60.70451	56.45042	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.94594	17.82794	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	51.50914	42.26197	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	57.09496	29.14566	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.94594	17.82794	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.31141	55.89713	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.74174	33.41638	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.56141	43.21012	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.02677	40.44411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.90247	41.7916	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.54354	60.23489	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.01176	36.59392	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.76516	37.29029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.93354	50.83568	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.13657	38.84314	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.12849	61.58849	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.03011	37.87672	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	56.56141	37.21012	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.97875	51.44681	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.97875	44.55319	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.40719	47.79333	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.33453	37.94878	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.43937	45.44133	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.06532	55.1035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.06532	34.8965	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	52.07615	37.9786	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.33453	40.05122	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.77233	37.91184	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.77711	38.84453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	55.12849	61.58849	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.76516	31.29029	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.74128	35.89982	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.77472	33.77729	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.33831	39.45056	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	54.39562	35.31051	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
