http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
    	39.65439	19.95097	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	37.67521	21.56697	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1910	37.30952	34.24126	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1910	40.91741	27.83125	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1910	37.30049	34.91802	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1913	37.29232	36.631	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1934	40.01946	32.88282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1934	40.01946	32.88282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1937	41.45034	22.5563	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	37.67521	21.56697	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	37.67521	21.56697	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1964	37.67521	21.56697	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1966	37.65255	29.3804	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	41.4608	27.11974	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	40.35824	29.23742	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	40.53828	29.2434	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	38.56516	31.27836	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.84098	28.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1967	37.6569	29.15385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1968	41.45781	33.83811	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.36256	35.00204	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.45795	42.79169	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.92865	43.50031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.92865	43.50031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.92865	43.50031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.38142	43.05377	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1970	38.90814	30.34761	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	42.0007	27.36223	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	39.83456	43.94823	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.84449	46.70475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.84449	46.70475	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.46768	48.39937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	37.46768	48.39937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.20128	46.94142	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.92865	43.50031	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	39.10559	43.26529	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.91771	41.19146	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.57731	39.3444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.385	34.71736	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1971	38.74168	34.95597	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.6569	29.15385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.66431	28.70062	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.83265	30.61382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.65255	30.6196	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.66998	31.75276	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.85415	32.20432	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48975	31.75577	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.66736	31.52606	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.11219	36.63663	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48413	34.69652	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.21061	34.25641	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.56516	34.72164	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.75346	34.03572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.55751	35.18047	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.7281	35.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	38.7281	35.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	39.81339	36.54674	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1973	39.81809	36.7802	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.34818	29.708	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	37.6569	29.15385	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	37.48716	31.52961	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	38.57731	39.3444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.44263	29.89533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.26818	29.66592	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
